Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
Dataset Assay,"The assay the dataset is representative of. Multiple values permitted, comma separated.","16S Ribosomal Gene Sequencing Assay, 3C, 3C-qPCR, 3D Cell Culture, 4C, 5C, 10-cell RNA Sequencing, Affinity Purification Mass Spectrometry, Single Cell Gel Electrophoresis, Apoptosis Assay, ATAC-Seq, Atomic Absorption Spectroscopy, Atomic Force Microscopy, ATP Bioluminescence Assay, Barcode-Seq, Bioluminescence Imaging, Bisulfite Sequencing, Brightfield Microscopy, Brillouin Microscopy, Cytokine Expression Profile, cDNA Array, Migration Assay, Cell Proliferation Assay, Thermal Shift Assay, Chemotaxis Assay, ChIA-PET, ChIP-Seq, Colorimetric Cell Viability Assay, Computational Modeling, Computational Tool, Computed Tomography, Confocal Microscopy, CRISPR, Cross-Linking Immunoprecipitation High-throughput Sequencing, Cross-Linking Mass Spectrometry, CUT&RUN, Cyclic Immunofluorescence, Deep Mutational Scanning, Dideoxy Chain Termination DNA Sequencing, Differential Interference Contrast Microscopy, Differential Scanning Fluorimetry, DNase-Seq, Optical Mapping, DRIP-seq, Droplet Digital PCR, Dual-Luciferase Reporter Assay, Dye Endocytosis Assay, Dynamic Light Scattering, Electron Diffraction, Electron Microscopy, Electron Paramagnetic Resonance Spectroscopy, Electrophoretic Mobility Shift Assay, ELISA, Energy-Dispersive X-Ray Spectroscopy, Enzyme-Linked Immunospot Assay, Epidemiological Method, DNA Gene-Expression Microarray, FAIRE-Seq, FISH, Fluorescence Lifetime Imaging Microscopy, Flow Cytometry, Fluorescence Correlation Spectroscopy, Fluorescence Microscopy, Fluorescence Recovery After Photo-Bleaching, Fluorescent Antibody Procedure, Focused Ion Beam Scanning Electron Microscopy, Forster resonance energy transfer, Fourier-Transform Infrared Spectroscopy, Gas Chromatography Mass Spectrometry, Genotyping, Global Run-On Sequencing, Hematoxylin and Eosin Staining Method, Hi-C, HiChIP, High Throughput Screening, High-Content Screen, HPLC-MSMS, Hydrogels, Image Cytometry, Imaging, Immunocytochemistry, ImmunoFISH, Immunohistochemistry Staining Method, In Situ Hybridization, Cell Viability Assay, In Vitro Selection, In Vivo Bioluminescence, Interference Reflection Microscopy, Intravital Microscopy, Lattice Light Sheet Microscopy, Liquid Chromatography/Tandem Mass Spectrometry, Enzyme Activity Assay, Liquid Chromatography Mass Spectrometry, Luciferase Reporter Assay, Luminescent Cell Viability Assay, Macrophage Polarization Assay, Magnetic Resonance Imaging, Magnetic Tweezers, Magnetic Twisting Cytometry, Magnetically Activated Cell Sorting, Mass Cytometry, Mass Spectrometry, Mathematical Modeling, Methyl Binding Domain Sequencing, Microfluidics, Micropipette Aspiration, MicroRNA Expression Array, MicroRNA Sequencing, Microscopy, MNase-Seq, Molecular Simulations, Monolayer Stress Microscopy, MULTI-seq, MULTI-Seq, Multiplexed Ion Beam Imaging, Multiphoton Microscopy, Murine Model, Nanopatterning, Nanowire, Next Generation Sequencing, Nm-seq, Not Applicable, Nuclear Magnetic Resonance, Optical Emission Spectroscopy, Optical Tweezers, Optogenetic Assay, Organoid, Partial Wave Spectroscopy, Patient Derived Xenograft, Permeability Assay, Phagocytosis Assay, PlateSeq, Plasmid Construction, PCR, Positron Emission Tomography, Proteomics Assay, Proximity Ligation Assay, Quantitative Multiplex Immunofluorescence, Questionnaire, Raman Spectroscopy, qPCR, RT-PCR, Reduced Representation Bisulfite Sequencing, Rheometry, Ribo-Seq, RIP-Seq, Ribosomal P Protein Antibody Measurement, RT-qPCR, Scanning Angle Interference Microscopy, Scanning Electron Microscopy, scCGI-seq, Second-Harmonic Imaging Microscopy, shRNA, Single Cell Cytokine Detection Chip Assay, Single Cell RNA-Sequencing, Single Molecule Forster Resonance Energy Transfer, Single Nucleotide Polymorphism Array, Single Nucleus RNA-Sequencing, Single Cell ATAC-Seq, Single-Molecule Tracking, siRNA, Small-Angle X-ray Scattering, smRNA-seq, snRNA-seq, Southern Blotting, Spectroscopy, Statistical Modeling, Stimulated Raman Scattering, Super-Resolution Microscopy, Surface Plasmon Resonance, Surveyor Nuclease Assay, Synthetic Genetic Array, Tandem Mass Spectrometry, Tandem Mass Tagging, Targeted Genome Sequencing, Targeted Transcriptome Sequencing, Time Lapse Microscopy, Tissue Engineering, Traction Force Microscopy, Transmission Electron Microscopy, Transwell Assay, Unspecified, UPLC-MSMS, UV Photocrosslinking, Vibrational Spectroscopy, Von Kossa Staining, Western Blotting, Whole Exome Sequencing, Whole Genome Bisulfite Sequencing, Whole Genome Sequencing, RNA Sequencing, Widefield Fluorescence Microscopy, X-Ray Crystallography, Xenograft, CLIP-qPCR, Soft Agar Assay, DNA Methylation Array, DNA Sequencing, Fluorescence Activated Cell Sorting, Fluorescence Imaging, Cytochemical Stain, In Vitro Model, CITE-seq, Dynamic Contrast-Enhanced Magnetic Resonance Imaging, Dynamic Susceptibility Contrast-Enhanced Magnetic Resonance Imaging, Diffusion Weighted Imaging, Synaptophysin Staining Method, Invasion Assay, 3' RNA-seq, Size Exclusion Chromatography, Co-Immunoprecipitation, Pull-Down Assay, Optical Stretcher, Binding Assay, Immunoprecipitation, Cytotoxicity Assay, Immunoassay, Optical Coherence Tomography, Multi-Isotope Mass Spectrometry, Multiplexed Error-Robust Fluorescence In Situ Hybridization, Fluorescent In Situ Sequencing , Bicinchoninic Acid Assay, Total Internal Reflection Fluorescence Microscopy, MALDI-TOF Mass Spectrometry, Angiogenesis Assay, Cell-spreading Assay, Stimulated Emission Depletion Microscopy, RAS Protein Family Activation Assay, Inductively-Coupled Plasma Mass Spectrometry, Drop-Seq, Shotgun Mass Spectrometry, Karyotyping, Nanopore sequencing, Co-culture Assay, Single-Cell TCR Sequencing, Direct Long-Read RNA Sequencing, NanoString Digital Spatial Profiling, Electrospray Ionization Time-of-Flight Mass Spectrometry, Multi-Angle Light Scattering, Micro-computed Tomography, Confocal Reflectance Quantitative Phase Microscopy, TIRF Microscopy, Cell Adhesion Assay, Endotoxin Assay, Sirius Red Staining, MeRIP-Seq, TUNEL assay, Autoradiography, Dynamic Force Spectroscopy, Atomic Absorption Spectrophotometry, Target Engagement Assay, Gelatin Zymography, mRNA Sequencing, Cytometric Bead Array Assay, ChIP-qPCR assay, Virus Plaque Assay, Multiparametric Magnetic Resonance Imaging, In-Cell Western Assay, Immobilized Metal Affinity Chromatography, Single-Cell Barcode Chip, Dark Field Microscopy, Desorption Electrospray Ionization, Wound-Healing Assay, Paraquat Survival Assay, Reverse-Phase High-Performance liquid Chromatography, Fourier Transform Ion Cyclotron Resonance Mass Spectrometry, Nested PCR, Single Cell DNA Sequencing, HL-Chip, Fluorescent Cell Barcoding, Efferocytosis Assay, Reverse Phase Protein Array, ChIP-PCR, Pending Annotation, Amplicon Sequencing, Mammosphere Formation Assay, Precision Run-On Sequencing, Nano-hmC-Seal, TCR Sequencing, Photolithography, Micropipette Adhesion Assay, Chemiluminescent Assay, Circular Dichroism Spectroscopy, Single-Cell BCR Sequencing, Graphite Furnace Atomic Absorption Spectrometry, X-Ray Diffraction, Methylation-Specific PCR, Point Accumulation for Imaging in Nanoscale Topography, Quantitative Point Accumulation for Imaging in Nanoscale Topography, smFISH, seqFISH, CASFISH, QFISH, Time-Correlated Single Photon Counting, MeDIP, TAB-Seq, Stochastic Optical Reconstruction Microscopy, Low-Vacuum Scanning Electron Microscopy, Knife-Edge Scanning Microscopy, X-Ray Micro-Computed Tomography, Bio‑Layer Interferometry, In Vitro Cell Killing Assay, DBiT-Seq, Thin-Layer Chromatography, Hydrophilic Interaction Chromatography, Collision-Induced Dissociation, Mint-ChIP, eCLIP-Seq, RIP, CUT&Tag-Sequencing, Microcontact Printing, scNT-Seq, scSLAM-seq, Photoacoustic Imaging, Cerenkov Luminescence Imaging, Global Chromatin Profiling, MEMA Cell Growth Assay, L1000 mRNA Profiling Assay, CellTiter-Glo Luminescent Cell Viability Assay, TRAP Staining, PET-CT, Colorectal Adenoma, Gonad, Tiling Array, Cutaneous Melanoma, RNAi Screen",,TRUE,,,,,list
Dataset Species,"The species the data was collected on. Multiple values permitted, comma separated.","Boar, Chicken, Cow, Dog, Human, Mouse, Opossum, Rat, Rhesus monkey, Unknown, Unspecified, Worm, Yeast, Armadillo, African Bush Elephant, Asian Elephant, Trichoplax adhaerens, Escherichia coli, Guinea Pig, Horse, Cat, Rabbit, Sheep",,TRUE,,,,,list
Dataset Tumor Type,"The tumor type(s), if applicable, of the data collected on. Multiple values permitted, comma separated.","Acinar Cell Carcinoma, Acute Lymphoblastic Leukemia, Acute Myeloid Leukemia, Acute Promyelocytic Leukemia, Adenocarcinoma, Angiosarcoma, Astrocytoma, B Acute Lymphoblastic Leukemia, Barrett Esophagus, Basal Cell Neoplasm, Bladder Neoplasm, Bladder Carcinoma, Bone Neoplasm, Brain Neoplasm, Breast Carcinoma, Breast Neoplasm, Carcinoma, Lung Carcinoma, Cervical Carcinoma, Colon Carcinoma, Prostate Carcinoma, Skin Carcinoma, Cerebellar Neoplasm, Cervical Small Cell Carcinoma, Cholangiocarcinoma, Chronic Lymphocytic Leukemia, Chronic Myeloid Leukemia, Colon Adenocarcinoma, Colorectal Adenocarcinoma, Colorectal Carcinoma, Colorectal Neoplasm, Diffuse Large B-Cell Lymphoma, Ductal Breast Carcinoma In Situ, Endometrial Carcinoma, Endometrial Neoplasm, Ewing Sarcoma, Fibroepithelial Polyp, Fibrosarcoma, Gallbladder Carcinoma, Gastric Adenocarcinoma, Gastric Neoplasm, Malignant Genitourinary System Neoplasm, Glioblastoma, Glioma, Head and Neck Carcinoma, Head and Neck Neoplasm, Hepatocellular Carcinoma, Hodgkin Lymphoma, Intestinal Neoplasm, Invasive Ductal Breast Carcinoma, Leiomyoma, Leukemia, Liver and Intrahepatic Bile Duct Carcinoma, Liver and Intrahepatic Bile Duct Neoplasm, Luminal A Breast Carcinoma, Lung Adenocarcinoma, Lung Neoplasm, Lung Non-Small Cell Carcinoma, Lung Squamous Cell Carcinoma, Lung Small Cell Carcinoma, Lymphoid Leukemia, Lymphoma, Malignant Digestive System Neoplasm, Malignant Neoplasm, Malignant Brain Neoplasm, Malignant Ovarian Neoplasm, Malignant Pancreatic Neoplasm, Malignant Peripheral Nerve Sheath Tumor, Malignant Skin Neoplasm, Mantle Cell Lymphoma, Marginal Zone Lymphoma, Medulloblastoma, Melanoma, Meningioma, Mesothelioma, Oral Cavity Neoplasm, Multiple Myeloma, Myoepithelioma, Neuroblastoma, Neuroendocrine Neoplasm, Non-Functioning Pituitary Gland Adenoma, Non-Hodgkin Lymphoma, Not Applicable, Oropharyngeal Neoplasm, Osteosarcoma, Ovarian Neoplasm, Ovarian Serous Adenocarcinoma, Pan-cancer, Pancreatic Adenocarcinoma, Pancreatic Ductal Adenocarcinoma, Pancreatic Neoplasm, Pancreatic Neuroendocrine Carcinoma, Pituitary Gland Adenoma, Plasmablastic Lymphoma, Precursor B-cell lymphoblastic leukemia, Primary Myelofibrosis, Prostate Neoplasm, Rectal Adenocarcinoma, Renal Cell Carcinoma, Sarcoma, Serous Tubal Intraepithelial Carcinoma, Skin Neoplasm, Soft Tissue Sarcoma, Squamous Cell Carcinoma, Head and Neck Squamous Cell Carcinoma, T Acute Lymphoblastic Leukemia, T-Cell Lymphoma, Thyroid Gland Carcinoma, Thyroid Gland Noninvasive Follicular Neoplasm with Papillary-Like Nuclear Features, Triple-Negative Breast Carcinoma, Urothelial Carcinoma, Uveal Melanoma, Uveal Neoplasm, Vascular Neoplasm, Esophageal Carcinoma, Gastrointestinal Stromal Neoplasm, Neuroepithelial Neoplasm, Pilocytic Astrocytoma, Dysembryoplastic Neuroepithelial Neoplasm, Rosette-Forming Glioneuronal Tumor, Extraventricular Neurocytoma, Myeloproliferative Neoplasm, Gastroesophageal Adenocarcinoma, Myeloid Neoplasm, Thyroid Gland Anaplastic Carcinoma, Basal-Like Breast Carcinoma, Esophageal Squamous Cell Carcinoma, Salivary Gland Adenoid Cystic Carcinoma, High Grade Ovarian Serous Adenocarcinoma, Cutaneous T Cell Lymphoma, Mycosis Fungoides, Testicular Embryonal Carcinoma, Malignant Glioma, Low Grade Glioma, Gastric Carcinoma, Acute Monocytic Leukemia, Kaposi Sarcoma, Malignant Peritoneal Neoplasm, Penile Carcinoma, Histiocytic Sarcoma, Rhabdomyosarcoma, Plasmacytoma, Uterine Adenosarcoma, Ovarian Adenosarcoma, Craniopharyngioma, Follicular Lymphoma, Gastroesophageal Junction Adenocarcinoma, Oral Cavity Squamous Cell Carcinoma, Carcinoma In Situ, Central Nervous System Cavernous Hemangioma, Cervical Neoplasm, Pending Annotation, Pancreatic Carcinoma, Central Nervous System Neoplasm, Chondroblastoma, Giant Cell Tumor, Ovarian Carcinoma, Synovial Sarcoma, Teratoma, Schwannoma, Ependymoma, Neurofibroma, Plexiform Schwannoma, Cellular Schwannoma, Breast Adenocarcinoma, Choriocarcinoma, Pheochromocytoma, Combined Hepatocellular Carcinoma and Cholangiocarcinoma, Fibrolamellar Carcinoma, Myeloid Leukemia, Prostate Adenocarcinoma, B-Cell Non-Hodgkin Lymphoma, Esophageal Adenocarcinoma, Intrahepatic Cholangiocarcinoma",,TRUE,,,,,list
Dataset Tissue,"Tissue type(s) associated with the dataset. Multiple values permitted, comma separated.","Abdominal Esophagus, Ascending Colon, Bile Duct, Bladder, Blood, Bone, Bone Marrow, Brain, Breast, Cardia, Cervix Uteri, Colon, Connective and Soft Tissue, Embryo, Endocervix, Epithelium, Esophagus, Eye, Frontal Lobe, Head and Neck, Heart, Hematopoietic System, Intra-Abdominal Lymph Nodes, Intrathoracic Lymph Nodes, Kidney, Liver, Lung, Lymph Node, Lymph Nodes of Axilla or Arm, Lymph Nodes of Inguinal Region or Leg, Lymphatic System, Lymphoid Tissue, Main Bronchus, Mammary Gland, Oral Cavity, Nasal Cavity, Nervous System, Not Applicable, Ovary, Pancreas, Pelvic Lymph Nodes, Peripheral Nerves, Prostate Gland, Rectum, Skin, Small Intestine, Vertebra, Spinal Cord, Spleen, Stomach, Testis, Thymus, Thyroid gland, Trachea, Unspecified, Uterus, Fallopian Tube, Endothelium, Meninges, Umbilical Cord, Artery, Alveolus, Adipose Tissue, Vein, Hair Follicle, Endometrium, Placenta, Aorta, Tonsil, Intestine, Embryonic Heart, Gastrointestinal Tract, Muscle, Ear, Gastroesophageal Junction, Oral Mucosa, Periodontal Ligament, Olfactory Mucosa, Cartilage, Salivary Gland, Joint, Pituitary Gland, Pending Annotation, Blood Vessel, Vascular Endothelium, Reproductive System, Tongue, Genitourinary, Heart Muscle, Cornea, Choroid, Sclera, Pharynx, Larynx, Respiratory System, Ligament, Tendon,  Adrenal Gland, Vagina, Hippocampus, Caecum, Pleura, Synovial Membrane, Foreskin, Omentum, Duodenum",,TRUE,,,,,list
Dataset Grant,"Datasets associated with a grant, joined by uuids from the dataset and grant table.",,"Component. Dataset, Grant",FALSE,,,"Dataset, Grant",,
Consortium,Consortium information,,"Component, Consortium Name, Consortium Display Name, Consortium Full Name, Consortium Description, Consortium Funding Agency, Website",FALSE,,,,,
Consortium Name,"Machine readable name of the research consortium. (e.g. sage_bionetworks, csbc_pson, etc.)",,,TRUE,,,,,
Consortium Display Name,"Human readable display name of research consortium (e.g. Sage Bionetworks, CSBC, PS-ON, etc.)",,,TRUE,,,,,
Consortium Full Name,Full name of research consortium. (e.g. Cancer Systems Biology Consortium).,,,TRUE,,,,,
Consortium Description,Description of research consortium,,,TRUE,,,,,
Consortium Funding Agency,Funding agency of research consortium ,NIH,,TRUE,,,,,
Website,Website of research consortium,,,TRUE,,,,,
Consortium Grant,"Consortiums associated with a grant, joined by uuids from the consortium and grant table.",,"Component, Consortium, Grant",FALSE,,,"Consortium, Grant",,
Grant,Consortium grant information,,"Component, Grant Name, Grant Number, Grant Abstract, Grant Type",FALSE,,,,,
Grant Name,Name of the grant,,,TRUE,,,,,
Grant Number,"Number of the grant (i.e. ""CA------"" format)",,,TRUE,,,,,
Grant Abstract,Abstract for the grant,,,TRUE,,,,,
Grant Type,Type of grant,"U24, U54, U01, R01, R37, R21",,TRUE,,,,,
Project,Projects associated with consortia grants,,"Component, Project Name, Project Type, Project Description",FALSE,,,Grant,,
Project Name,Name of the project,,,TRUE,,,,,
Project Type,Type of project,"Project, Core",,TRUE,,,,,
Project Description,Description of the project,,,TRUE,,,,,
Person,Information on individuals participating in consortia activities,,"Component, Name, Alternative Names, Email, Url, Orcid Id, Synapse Profile Id, Last Known Institution, Working Group Participation, Chair Roles, Consent For Portal Display, Portal Display",FALSE,,,,,
Name,Name of the individual,,,TRUE,,,,,
Alternative Names,"Other ways the individual's name is displayed. Multiple values permitted, comma separated.",,,FALSE,,,,,list
Email,Email address of the individual,,,FALSE,,,,,
Url,"URL, e.g., individual's home page address",,,FALSE,,,,,
Orcid Id,Unique identifier (ORCID ID) of the individual,,,FALSE,,,,,
Synapse Profile Id,Unique identifier (Synapse Profile ID) of the individual. See identifer in the url of the synapse profile page. ,,,FALSE,,,,,
Last Known Institution,Last known institutional affiliation of the individual.,,,TRUE,,,,,
Working Group Participation,"CSBC/PSON working group(s) of which the individual is a member (current and former). Multiple values permitted, comma separated.","None, Education and Outreach, Resource and Data Sharing, Cancer Metabolism, Cell and Tissue Mechanics, Image Analysis, Navigating Cancer with Science and Art, Patient Advocacy Working Group, Protein-Protein Interactions",,TRUE,,,,,list
Chair Roles,"Committee or working group chair role(s) the individual fulfilled (current and former). Multiple values permitted, comma separated.","None, Steering Committee, Working Group, Annual Meeting",,TRUE,,,,,list
Consent For Portal Display,Consent from individual to display Person information in the CCKP,"Yes, No",,TRUE,,,,,
Portal Display,Display content in CCKP,"True, False",,TRUE,,,,,
Person Consortium,"Consortiums associated with a person, joined by uuids from the person and consortium table.",,"Component, Person, Consortium",FALSE,,,"Person, Consortium",,
Theme,Themes associated with resources derived from consortia activities,,"Component, Theme Name, Theme Display Name, Theme Description",FALSE,,,,,
Theme Name,"Machine readable name of the research theme. (e.g. compuational_resource, drug_resistance_sensitivity).",,,TRUE,,,,,
Theme Display Name,"Human readable display name of the research theme. (e.g. Computational Resource, Drug Resistance/Sensitivity)",,,TRUE,,,,,
Theme Description,Description of the research theme.,,,TRUE,,,,,
Theme Grant,"Themes associated with Grants, joined by uuids from the theme and grant table.",,"Component, Theme, Grant",FALSE,,,"Theme, Grant",,
Institution,Institutions participating in consortia activities,,"Component, Institution Name, Institution Full Name, Institution Alias, Institution Location State, Institution Location City, Rorid",FALSE,,,,,
Institution Name,"Machine readable name of the institution. (e.g. ArizonaStatUniversity, BostonUniversity, etc.)",,,TRUE,,,,,
Institution Full Name,"Human readable, full name of the institution. (e.g. Arizona State University, Boston University, etc.)",,,TRUE,,,,,
Institution Alias,"Alias of the institution (e.g. ASU, BU, etc.)",,,TRUE,,,,,
Institution Location State,"The US state the institution is located in. Use Not Applicable, if not applicable. ","Not Applicable, Alabama, Alaska, American Samoa, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Guam, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Minor Outlying Islands, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Northern Mariana Islands, Ohio, Oklahoma, Oregon, Pennsylvania, Puerto Rico, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, U.S. Virgin Islands, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming",,TRUE,,,,,
Institution Location City,The City the institution is located in. ,,,TRUE,,,,,
Rorid,Unique identifier (ROR ID) of an the institution,,,TRUE,,,,,
Institution Grant,"Institutions associated with grants, joined by uuids from the institution and grant table.",,"Component, Institution, Grant",FALSE,,,"Institution, Grant",,
File,Files derived from consortia activity.,,"Component, File Name, File Url, File Format",FALSE,,,,,
File Name,The name of the data file (e.g. rna-seq.fastq).,,,TRUE,,,,,
File Url,The url of where the data file is stored. ,,,TRUE,,,,,
File Format,The format of the data file (e.g. FASTQ).,"SRA, bed12, LIF, PNG, cel, FREQ, bedgraph, pptx, CDS, ZIP, xlsx, xlsx, Python Script, cloupe, SRA,TXT, TIFF, MSF, TSV, MATLAB script, PDF, COOL, BAI, GFF3, BAM, MAT, PZFX, AVI, SRA, R File Format, RPROJ, CDS, rcc, MTX, mzXML, RDS, xls, VCF, SGI, FASTQ, GZIP Format, WIG, ZIP Format, docx, TXT, CHP, TDF, CSV, GCG, RAW, JPG, XML, R File Format, mzIdentML, MAP, GTF, JPG, STAT, cel, ROUT, HTML, IDAT, DS_Store, FIG, GZIP Format, FASTA, DB, TAR Format, RD, rcc, BED",,TRUE,,,,,
File Grant,"Files associated with grants, joined by uuids from the file and grant table.",,"Component, File, Grant",FALSE,,,"File, Grant",,
Tool View,The denormalized manifest for tool submission.,,"Component, Tool Pubmed Id, Tool Grant Number, Tool Consortium Name, Tool Name, Tool Description, Tool Homepage, Tool Version, Tool Operation, Tool Input Data, Tool Output Data, Tool Input Format, Tool Output Format, Tool Function Note, Tool Cmd, Tool Type, Tool Topic, Tool Operating System, Tool Language, Tool License, Tool Cost, Tool Accessibility, Tool Download Url, Tool Download Type, Tool Download Note, Tool Download Version, Tool Documentation Url, Tool Documentation Type, Tool Documentation Note, Tool Link Url, Tool Link Type, Tool Link Note",FALSE,,,"Publication, Dataset, Consortium, Grant, Tool",,
Tool Grant Number,"Grant number associated with the tool's development. Multiple values permitted, comma separated.","CA184897, CA184898, CA188388, CA193313, CA193417, CA193419, CA193461, CA193489, CA195469, CA199315, CA202123, CA202144, CA202177, CA202229, CA202241, CA209891, CA209923, CA209971, CA209975, CA209978, CA209988, CA209992, CA209997, CA210152, CA210173, CA210180, CA210181, CA210184, CA210190, CA214282, CA214292, CA214297, CA214300, CA214354, CA214369, CA214381, CA214411, CA215709, CA215794, CA215798, CA215845, CA215848, CA217297, CA217376, CA217377, CA217378, CA217450, CA217655, CA220378, CA225088, CA225566, CA227136, CA227544, CA227550, CA228963, CA231978, CA232137, CA232161, CA232209, CA232216, CA232382, CA232517, CA234787, CA238475, CA238720, CA238728, CA240301, CA241927, CA243004, CA243007, CA243072, CA243073, CA243075, CA244100, CA244101, CA244107, CA244109, CA245313, CA250040, CA250044, CA250046, CA250481, CA253472, CA253540, CA253547, CA253553, CA254886, CA261822, CA261841, CA261842, CA264610, CA264620, CA260432, Affiliated/Non-Grant Associated",,TRUE,,,,,list
Tool Consortium Name,"Consortium associated with the tool's development. Multiple values permitted, comma separated.","CSBC, PS-ON, TEC, ICBP, NCI, Sage Bionetworks, HTAN, NCI Clinical and Translational Exploratory/Developmental Studies, CCBIR, MetNet, PDMC",,TRUE,,,,,list
Tool Pubmed Id,The pubMed identifer associated with the development of the tool.,,,FALSE,,,,,
Publication View,The denormalized manifest for publication submission.,,"Component, Publication Grant Number, Publication Consortium Name, Publication Theme Name, Publication Doi, Publication Journal, Pubmed Id, Pubmed Url, Publication Title, Publication Year, Publication Keywords, Publication Authors, Publication Assay, Publication Tumor Type, Publication Tissue, Publication Dataset Alias",FALSE,,,"Dataset, Tool, Theme, Consortium, Grant, Publication",,
Publication Grant Number,"Relevant grant number associated witht the publication's development. Multiple values permitted, comma separated.","CA184897, CA184898, CA188388, CA193313, CA193417, CA193419, CA193461, CA193489, CA195469, CA199315, CA202123, CA202144, CA202177, CA202229, CA202241, CA209891, CA209923, CA209971, CA209975, CA209978, CA209988, CA209992, CA209997, CA210152, CA210173, CA210180, CA210181, CA210184, CA210190, CA214282, CA214292, CA214297, CA214300, CA214354, CA214369, CA214381, CA214411, CA215709, CA215794, CA215798, CA215845, CA215848, CA217297, CA217376, CA217377, CA217378, CA217450, CA217655, CA220378, CA225088, CA225566, CA227136, CA227544, CA227550, CA228963, CA231978, CA232137, CA232161, CA232209, CA232216, CA232382, CA232517, CA234787, CA238475, CA238720, CA238728, CA240301, CA241927, CA243004, CA243007, CA243072, CA243073, CA243075, CA244100, CA244101, CA244107, CA244109, CA245313, CA250040, CA250044, CA250046, CA250481, CA253472, CA253540, CA253547, CA253553, CA254886, CA261822, CA261841, CA261842, CA264610, CA264620, CA260432, Affiliated/Non-Grant Associated",,TRUE,,,,,list
Publication Consortium Name,"The name of the consortium associated with the publicatoin's development. Multiple values permitted, comma separated.","CSBC, PS-ON, TEC, ICBP, NCI, Sage Bionetworks, HTAN, NCI Clinical and Translational Exploratory/Developmental Studies, CCBIR, MetNet, PDMC",,TRUE,,,,,list
Publication Theme Name,"The name of the them associated with the publication's development. Multiple values permitted, comma separated.","Metastasis, Heterogeneity, Microenvironment, Metabolism, Computational Resource, Evolution, Tumor-Immune, Drug Resistance/Sensitivity, Epigenetics, Mechano-genetics, Platform Development, Immunotherapy, Mechano-resistance, Computational Model Development, Method/Assay Development, Platform Development, Experimental Model Development",,TRUE,,,,,list
Publication Dataset Alias,"A list of the dataset aliases (An alias of the dataset must be unique. Can be the GEO identifier such as GSE12345, or a DOI. No Greek Letters) associated with the publication. Multiple values permitted, comma separated.",,,FALSE,,,,,list
Dataset View,The denormalized manifest for dataset submission.,,"Component, Dataset Pubmed Id, Dataset Grant Number, Dataset Consortium Name, Dataset Theme Name, Dataset Name, Dataset Alias, Dataset Description, Dataset Design, Dataset Assay, Dataset Species, Dataset Tumor Type, Dataset Tissue, Dataset Url",FALSE,,,"Publication, Grant, Consortium, Theme, Dataset",,
Dataset Grant Number,"Grant number(s) associated with the dataset's development. Multiple values permitted, comma separated.","CA184897, CA184898, CA188388, CA193313, CA193417, CA193419, CA193461, CA193489, CA195469, CA199315, CA202123, CA202144, CA202177, CA202229, CA202241, CA209891, CA209923, CA209971, CA209975, CA209978, CA209988, CA209992, CA209997, CA210152, CA210173, CA210180, CA210181, CA210184, CA210190, CA214282, CA214292, CA214297, CA214300, CA214354, CA214369, CA214381, CA214411, CA215709, CA215794, CA215798, CA215845, CA215848, CA217297, CA217376, CA217377, CA217378, CA217450, CA217655, CA220378, CA225088, CA225566, CA227136, CA227544, CA227550, CA228963, CA231978, CA232137, CA232161, CA232209, CA232216, CA232382, CA232517, CA234787, CA238475, CA238720, CA238728, CA240301, CA241927, CA243004, CA243007, CA243072, CA243073, CA243075, CA244100, CA244101, CA244107, CA244109, CA245313, CA250040, CA250044, CA250046, CA250481, CA253472, CA253540, CA253547, CA253553, CA254886, CA261822, CA261841, CA261842, CA264610, CA264620, CA260432, Affiliated/Non-Grant Associated",,TRUE,,,,,list
Dataset Consortium Name,"Consortium(s) associated with the dataset's development. Multiple values permitted, comma separated.","CSBC, PS-ON, TEC, ICBP, NCI, Sage Bionetworks, HTAN, NCI Clinical and Translational Exploratory/Developmental Studies, CCBIR, MetNet, PDMC",,TRUE,,,,,list
Dataset Theme Name,"Theme(s) associated with the dataset's development. Multiple values permitted, comma separated.","Metastasis, Heterogeneity, Microenvironment, Metabolism, Computational Resource, Evolution, Tumor-Immune, Drug Resistance/Sensitivity, Epigenetics, Mechano-genetics, Platform Development, Immunotherapy, Mechano-resistance, Computational Model Development, Method/Assay Development, Platform Development, Experimental Model Development",,TRUE,,,,,list
Dataset Pubmed Id,"The PubMed identifer(s) associated with the development of the dataset. Multiple values permitted, comma separated.",,,TRUE,,,,,list
Person View,The denormalized manifest for person submission.,,"Component, Person Grant Number, Person Consortium Name, Name, Alternative Names, Email, Url, Orcid Id, Synapse Profile Id, Last Known Institution, Working Group Participation, Chair Roles, Consent For Portal Display, Portal Display, Person Publications, Person Datasets, Person Tools",FALSE,,,"Publication, Dataset, Tool, Consortium, Grant, Person",,
